"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","EYOUTH Website","0","Links Features","3","0","Links Functionality","0"
"0","EYOUTH Website","0","course page details ","1","0","course Page Functionality","0"
"0","EYOUTH Website","0","Search Features","1","0","Search Functionality","0"
"0","EYOUTH Website","0","End To End Features","1","0","End-to-End Testing","0"
"0","EYOUTH Website","0","Login Features","2","0","Login Functionality","0"
"0","EYOUTH Website","0","course page details ","1","0","course card UI elements Functionality","0"
"0","EYOUTH Website","0","Sign Up Features","2","0","registration page Functionality","0"
